dates,link,session_title,subscript,voting_id,voting_number,voting_title
28 i 29 marca 2012 r.,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,256.html","Posiedzenie: 8. posiedzenie Senatu RP VIII kadencji, 2 dzień",Poprawka 2,256,8,Ustawa o zmianie ustawy o drogach publicznych oraz niektórych innych ustaw
28 i 29 marca 2012 r.,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,257.html","Posiedzenie: 8. posiedzenie Senatu RP VIII kadencji, 2 dzień",Poprawka 3,257,9,Ustawa o zmianie ustawy o drogach publicznych oraz niektórych innych ustaw
28 i 29 marca 2012 r.,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,258.html","Posiedzenie: 8. posiedzenie Senatu RP VIII kadencji, 2 dzień",Poprawka 4,258,10,Ustawa o zmianie ustawy o drogach publicznych oraz niektórych innych ustaw
28 i 29 marca 2012 r.,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,259.html","Posiedzenie: 8. posiedzenie Senatu RP VIII kadencji, 2 dzień",Poprawka 5,259,11,Ustawa o zmianie ustawy o drogach publicznych oraz niektórych innych ustaw
28 i 29 marca 2012 r.,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,260.html","Posiedzenie: 8. posiedzenie Senatu RP VIII kadencji, 2 dzień",Poprawka 6,260,12,Ustawa o zmianie ustawy o drogach publicznych oraz niektórych innych ustaw
28 i 29 marca 2012 r.,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,261.html","Posiedzenie: 8. posiedzenie Senatu RP VIII kadencji, 2 dzień",Poprawka 7,261,13,Ustawa o zmianie ustawy o drogach publicznych oraz niektórych innych ustaw
28 i 29 marca 2012 r.,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,262.html","Posiedzenie: 8. posiedzenie Senatu RP VIII kadencji, 2 dzień",Poprawka 8,262,14,Ustawa o zmianie ustawy o drogach publicznych oraz niektórych innych ustaw
28 i 29 marca 2012 r.,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,263.html","Posiedzenie: 8. posiedzenie Senatu RP VIII kadencji, 2 dzień",Poprawka 9,263,15,Ustawa o zmianie ustawy o drogach publicznych oraz niektórych innych ustaw
28 i 29 marca 2012 r.,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,264.html","Posiedzenie: 8. posiedzenie Senatu RP VIII kadencji, 2 dzień",Poprawka 10,264,16,Ustawa o zmianie ustawy o drogach publicznych oraz niektórych innych ustaw
28 i 29 marca 2012 r.,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,265.html","Posiedzenie: 8. posiedzenie Senatu RP VIII kadencji, 2 dzień",Poprawka 11,265,17,Ustawa o zmianie ustawy o drogach publicznych oraz niektórych innych ustaw
