No. of voting,Title,Subscript,Link,voting_id,Session,Dates
5,Ustawa o zmianie ustawy o wykonywaniu kary pozbawienia wolności poza zakładem karnym w systemie dozoru elektronicznego,Poprawka 3,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,374.html",374,"Posiedzenie: 11. posiedzenie Senatu RP VIII kadencji, 2 dzień",9 i 10 maja 2012 r.
6,Ustawa o zmianie ustawy o wykonywaniu kary pozbawienia wolności poza zakładem karnym w systemie dozoru elektronicznego,Poprawka 4,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,375.html",375,"Posiedzenie: 11. posiedzenie Senatu RP VIII kadencji, 2 dzień",9 i 10 maja 2012 r.
7,Ustawa o zmianie ustawy o wykonywaniu kary pozbawienia wolności poza zakładem karnym w systemie dozoru elektronicznego,Przyjęcie ustawy wraz z poprawkami,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,376.html",376,"Posiedzenie: 11. posiedzenie Senatu RP VIII kadencji, 2 dzień",9 i 10 maja 2012 r.
8,"Ustawa o zmianie ustawy o obrocie z zagranicą towarami, technologiami i usługami o znaczeniu strategicznym dla bezpieczeństwa państwa, a także dla utrzymania międzynarodowego pokoju i bezpieczeństwa oraz niektórych innych ustaw",Poprawka 1,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,377.html",377,"Posiedzenie: 11. posiedzenie Senatu RP VIII kadencji, 2 dzień",9 i 10 maja 2012 r.
9,"Ustawa o zmianie ustawy o obrocie z zagranicą towarami, technologiami i usługami o znaczeniu strategicznym dla bezpieczeństwa państwa, a także dla utrzymania międzynarodowego pokoju i bezpieczeństwa oraz niektórych innych ustaw","Poprawka 2-5, 7-10, 12","https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,378.html",378,"Posiedzenie: 11. posiedzenie Senatu RP VIII kadencji, 2 dzień",9 i 10 maja 2012 r.
10,"Ustawa o zmianie ustawy o obrocie z zagranicą towarami, technologiami i usługami o znaczeniu strategicznym dla bezpieczeństwa państwa, a także dla utrzymania międzynarodowego pokoju i bezpieczeństwa oraz niektórych innych ustaw",Poprawka 11,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,379.html",379,"Posiedzenie: 11. posiedzenie Senatu RP VIII kadencji, 2 dzień",9 i 10 maja 2012 r.
11,"Ustawa o zmianie ustawy o obrocie z zagranicą towarami, technologiami i usługami o znaczeniu strategicznym dla bezpieczeństwa państwa, a także dla utrzymania międzynarodowego pokoju i bezpieczeństwa oraz niektórych innych ustaw",Poprawka 13,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,380.html",380,"Posiedzenie: 11. posiedzenie Senatu RP VIII kadencji, 2 dzień",9 i 10 maja 2012 r.
12,"Ustawa o zmianie ustawy o obrocie z zagranicą towarami, technologiami i usługami o znaczeniu strategicznym dla bezpieczeństwa państwa, a także dla utrzymania międzynarodowego pokoju i bezpieczeństwa oraz niektórych innych ustaw",Przyjęcie ustawy wraz z poprawkami,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,381.html",381,"Posiedzenie: 11. posiedzenie Senatu RP VIII kadencji, 2 dzień",9 i 10 maja 2012 r.
13,"Ustawa o ratyfikacji Umowy między Rzecząpospolitą Polską a Jersey o wymianie informacji w sprawach podatkowych, sporządzonej w Londynie dnia 2 grudnia 2011 r.",Wniosek o przyjęcie ustawy bez poprawek,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,382.html",382,"Posiedzenie: 11. posiedzenie Senatu RP VIII kadencji, 2 dzień",9 i 10 maja 2012 r.
14,"Ustawa o ratyfikacji Umowy między Rzecząpospolitą Polską a Jersey w sprawie unikania podwójnego opodatkowania w odniesieniu do przedsiębiorstw eksploatujących statki morskie lub statki powietrzne w transporcie międzynarodowym, sporządzonej w Londynie dnia 2 grudnia 2011 r.",Wniosek o przyjęcie ustawy bez poprawek,"https://www.senat.gov.pl/prace/posiedzenia/glosowanie-drukuj,383.html",383,"Posiedzenie: 11. posiedzenie Senatu RP VIII kadencji, 2 dzień",9 i 10 maja 2012 r.
